Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;1,096,852.75;768,472.25;25,895.50
Jan 2, 2015;Jan 3, 2015;1,288,914.75;679,205.75;27,225.00
Jan 3, 2015;Jan 4, 2015;1,213,309.50;736,911.75;24,694.25
Jan 4, 2015;Jan 5, 2015;1,177,896.00;767,345.50;24,441.75
Jan 5, 2015;Jan 6, 2015;1,425,927.50;1,172,036.25;25,733.25
Jan 6, 2015;Jan 7, 2015;1,434,875.00;1,292,393.25;22,292.75
Jan 7, 2015;Jan 8, 2015;1,548,897.00;1,310,490.00;14,963.50
Jan 8, 2015;Jan 9, 2015;1,573,448.50;1,131,985.25;20,853.50
Jan 9, 2015;Jan 10, 2015;1,551,795.50;900,819.75;18,492.75
Jan 10, 2015;Jan 11, 2015;1,330,121.50;679,079.25;21,915.75
Jan 11, 2015;Jan 12, 2015;1,245,315.50;595,527.50;23,764.75
Jan 12, 2015;Jan 13, 2015;1,572,223.00;927,555.25;22,427.00
Jan 13, 2015;Jan 14, 2015;1,557,794.25;989,571.00;16,859.00
Jan 14, 2015;Jan 15, 2015;1,554,254.25;1,127,128.00;21,317.00
Jan 15, 2015;Jan 16, 2015;1,580,828.75;1,014,653.75;23,621.00
Jan 16, 2015;Jan 17, 2015;1,534,068.75;1,243,796.25;18,762.75
Jan 17, 2015;Jan 18, 2015;1,329,000.75;1,173,343.75;21,802.50
Jan 18, 2015;Jan 19, 2015;1,243,108.75;1,080,346.25;22,811.75
Jan 19, 2015;Jan 20, 2015;1,559,946.00;1,502,904.25;16,602.75
Jan 20, 2015;Jan 21, 2015;1,595,471.50;1,567,507.00;19,047.25
Jan 21, 2015;Jan 22, 2015;1,594,371.75;1,524,692.25;20,802.00
Jan 22, 2015;Jan 23, 2015;1,605,934.00;1,529,502.50;20,974.00
Jan 23, 2015;Jan 24, 2015;1,580,198.00;1,537,337.00;19,837.00
Jan 24, 2015;Jan 25, 2015;1,391,848.50;1,228,214.75;19,375.75
Jan 25, 2015;Jan 26, 2015;1,265,055.75;1,137,210.75;18,022.50
Jan 26, 2015;Jan 27, 2015;1,581,008.00;1,351,133.75;16,357.75
Jan 27, 2015;Jan 28, 2015;1,592,247.25;1,296,978.75;18,182.50
Jan 28, 2015;Jan 29, 2015;1,613,410.75;1,170,997.50;18,424.75
Jan 29, 2015;Jan 30, 2015;1,596,585.25;1,151,969.50;22,463.75
Jan 30, 2015;Jan 31, 2015;1,562,849.25;1,459,030.25;21,740.25
Jan 31, 2015;Feb 1, 2015;1,345,132.25;1,191,630.75;16,741.50
Feb 1, 2015;Feb 2, 2015;1,250,357.00;1,105,608.75;20,213.75
Feb 2, 2015;Feb 3, 2015;1,592,531.00;1,374,310.00;16,677.75
Feb 3, 2015;Feb 4, 2015;1,620,916.50;1,491,976.00;18,321.25
Feb 4, 2015;Feb 5, 2015;1,626,316.25;1,552,732.25;16,670.00
Feb 5, 2015;Feb 6, 2015;1,623,523.25;1,475,954.50;15,952.75
Feb 6, 2015;Feb 7, 2015;1,597,303.00;1,376,421.25;17,039.50
Feb 7, 2015;Feb 8, 2015;1,395,147.25;1,083,037.50;18,195.00
Feb 8, 2015;Feb 9, 2015;1,281,069.00;816,470.00;29,107.50
Feb 9, 2015;Feb 10, 2015;1,595,861.75;1,192,198.75;21,437.50
Feb 10, 2015;Feb 11, 2015;1,599,749.50;1,421,897.00;15,912.50
Feb 11, 2015;Feb 12, 2015;1,594,669.25;1,539,637.25;14,343.50
Feb 12, 2015;Feb 13, 2015;1,593,174.50;1,528,941.50;16,199.25
Feb 13, 2015;Feb 14, 2015;1,562,459.00;1,406,086.25;14,470.00
Feb 14, 2015;Feb 15, 2015;1,347,657.50;1,163,437.75;26,035.25
Feb 15, 2015;Feb 16, 2015;1,242,427.50;982,093.00;23,066.25
Feb 16, 2015;Feb 17, 2015;1,512,297.75;1,242,247.25;19,952.50
Feb 17, 2015;Feb 18, 2015;1,581,008.00;1,473,207.75;17,058.00
Feb 18, 2015;Feb 19, 2015;1,589,465.00;1,421,280.50;18,749.00
Feb 19, 2015;Feb 20, 2015;1,595,995.75;1,293,574.25;18,613.75
Feb 20, 2015;Feb 21, 2015;1,557,110.25;1,144,866.00;22,559.00
Feb 21, 2015;Feb 22, 2015;1,335,687.25;1,007,726.25;21,031.75
Feb 22, 2015;Feb 23, 2015;1,238,835.25;1,037,043.75;17,027.75
Feb 23, 2015;Feb 24, 2015;1,571,784.25;1,171,808.50;19,723.75
Feb 24, 2015;Feb 25, 2015;1,584,692.75;1,213,745.00;22,319.25
Feb 25, 2015;Feb 26, 2015;1,563,406.50;1,376,304.50;18,753.75
Feb 26, 2015;Feb 27, 2015;1,561,393.25;1,286,352.50;22,582.50
Feb 27, 2015;Feb 28, 2015;1,548,504.50;1,340,509.50;14,852.25
Feb 28, 2015;Mar 1, 2015;1,332,163.75;1,056,571.00;16,383.25
Mar 1, 2015;Mar 2, 2015;1,234,739.00;743,517.50;22,585.75
Mar 2, 2015;Mar 3, 2015;1,527,631.75;960,116.00;26,243.75
Mar 3, 2015;Mar 4, 2015;1,561,668.75;1,021,959.00;24,992.50
Mar 4, 2015;Mar 5, 2015;1,572,267.50;1,119,935.50;17,106.75
Mar 5, 2015;Mar 6, 2015;1,562,429.25;1,320,904.75;21,167.00
Mar 6, 2015;Mar 7, 2015;1,530,533.00;1,328,957.00;16,652.75
Mar 7, 2015;Mar 8, 2015;1,308,026.75;930,736.50;22,550.75
Mar 8, 2015;Mar 9, 2015;1,175,447.00;831,270.00;26,798.00
Mar 9, 2015;Mar 10, 2015;1,480,349.25;1,288,821.25;15,853.25
Mar 10, 2015;Mar 11, 2015;1,525,742.00;1,283,786.00;20,087.75
Mar 11, 2015;Mar 12, 2015;1,520,659.25;1,275,677.25;20,925.00
Mar 12, 2015;Mar 13, 2015;1,521,546.25;1,346,497.25;16,440.50
Mar 13, 2015;Mar 14, 2015;1,508,895.25;1,268,816.25;12,777.00
